video_id,approx_duration_(ms),video_description_(original),video_title_(original),video_publish_timestamp,publish_year,batch_source
fourth_batch_vid_0001,616000,"Code generated in the video can be downloaded from here: https://github.com/bnsreenu/python_for_microscopists Grain segmentation using less than 10 lines of code in python uses Voronoi labeling from the pyclesperanto library in python # For installation instructions of the pyclesperanto package, please refer to the following link # https://github.com/clEsperanto/pyclesperanto_prototype",276 - Grain segmentation using less than 10 lines of code in python,2022-06-29T07:00:12Z,2022,fourth_batch
fourth_batch_vid_0002,614000,"Code generated in the video can be downloaded from here: https://github.com/bnsreenu/python_for_microscopists Do not waste your time with deep learning to segment relatively easy to segment objects against a background. This tutorial explains the simple process for 3D object segmentation by using Voronoi labeling from the pyclesperanto library in python # For installation instructions of the pyclesperanto package, please refer to the following link # https://github.com/clEsperanto/pyclesperanto_prototype",277 - 3D object segmentation in python,2022-07-06T07:00:00Z,2022,fourth_batch
fourth_batch_vid_0003,758000,Code generated in the video can be downloaded from here: https://github.com/bnsreenu/python_for_microscopists A Voronoi diagram divides the plane into separate regions where ​each region contains exactly one generating point (seed) and​ every point in a given region is closer to its seed than to any other. ​The regions around the edge of the cluster of points extend out to infinity. This video explains Voronoi using python.,273 - What is Voronoi - explanation using python code,2022-06-08T07:00:13Z,2022,fourth_batch
fourth_batch_vid_0004,877000,"Code generated in the video can be downloaded from here: https://github.com/bnsreenu/python_for_microscopists Step by step... Refer to the next tutorial for a single step function that does the job. Steps... #Step 1: gaussian blur the image and detect maxima for each nuclei #Step 2: threshold the input image after applying light gaussian blur (sigma=1) #Step 3: Exclude maxima locations from the background, to make sure we only include the ones from nuclei #Step 4: Separate maxima locations into labels using masked voronoi #Step 5: Separate objects using watershed. # For installation instructions of the pyclesperanto package, please refer to the following link # https://github.com/clEsperanto/pyclesperanto_prototype",274 - Object segmentation using voronoi and otsu,2022-06-15T07:00:30Z,2022,fourth_batch
fourth_batch_vid_0005,603000,Code generated in the video can be downloaded from here: https://github.com/bnsreenu/python_for_microscopists RGB to Haematoxylin-Eosin-DAB (HED) color space conversion followed by nuclei segmentation and analysis using Stardist.,282 - IHC color separation followed by nuclei segmentation using StarDist in python,2022-08-10T07:00:06Z,2022,fourth_batch
fourth_batch_vid_0006,853000,"Code generated in the video can be downloaded from here: https://github.com/bnsreenu/python_for_microscopists RGB to Haematoxylin-Eosin-DAB (HED) color space conversion followed by nuclei segmentation and analysis using Voronoi otsu Separate the immunohistochemical (IHC) staining from the hematoxylin counterstaining. The IHC staining expression of the FHL2 protein is here revealed with diaminobenzidine (DAB) which gives a brown color. A. C. Ruifrok and D. A. Johnston, “Quantification of histochemical staining by color deconvolution,” Analytical and quantitative cytology and histology / the International Academy of Cytology [and] American Society of Cytology, vol. 23, no. 4, pp. 291-9, Aug. 2001. PMID: 11531144 https://scikit-image.org/docs/dev/auto_examples/color_exposure/plot_ihc_color_separation.html#sphx-glr-auto-examples-color-exposure-plot-ihc-color-separation-py Try WSI datasets from here https://zenodo.org/record/1485967#.Yd31lv7MKbh https://www.wouterbulten.nl/blog/tech/peso-dataset-whole-slide-image-prosate-cancer/",278 - IHC color separation followed by nuclei segmentation using python,2022-07-13T07:00:06Z,2022,fourth_batch
fourth_batch_vid_0007,1244000,"For details on installing StarDist library and other examples: https://github.com/stardist/stardist Stardist helps with object detection of star-convex shapes, both in 2D and 3D. Code generated in the video can be downloaded from here: https://github.com/bnsreenu/python_for_microscopists/blob/master/279_An_introduction_to_object_segmentation_using_StarDist.ipynb All other code: https://github.com/bnsreenu/python_for_microscopists",279 - An introduction to object segmentation using StarDist library in Python,2022-07-20T07:00:04Z,2022,fourth_batch
fourth_batch_vid_0008,1471000,"Code generated in the video can be downloaded from here: Train: https://github.com/bnsreenu/python_for_microscopists/blob/master/280a_custom_object_segmentation_using_stardist_TRAIN.ipynb Predict: https://github.com/bnsreenu/python_for_microscopists/blob/master/280b_custom_object_segmentation_using_stardist_PREDICT.ipynb All other code: https://github.com/bnsreenu/python_for_microscopists This video tutorial explains the process of training your own StarDist model for object segmentation. It walks you through the process of importing training images and corresponding masks, training a model, and segmenting (any size) images using the trained model. Warning: You may find this approach more efficient compared to U-net or Mask-RCNN",280 - Custom object segmentation using StarDist library in python,2022-07-27T07:00:06Z,2022,fourth_batch
fourth_batch_vid_0009,819000,"Code generated in the video can be downloaded from here: https://github.com/bnsreenu/python_for_microscopists This video tutorial walks you through the process of importing whole slide H&E stained images (e.g., .svs format), segmenting nuclei using a pre-trained model, and reporting the measurements of the segmented nuclei. Prepare to be amazed by the power of StarDist.",281 - Segmenting whole slide images (WSI) for nuclei using StarDist in python,2022-08-03T07:00:15Z,2022,fourth_batch
fourth_batch_vid_0010,445000,"Tips Tricks - 32 Code generated in the video can be downloaded from here: https://github.com/bnsreenu/python_for_microscopists This tutorial explains the process of automating mouse movement in Windows using python. This technique can be used to keep any programs running without getting timed out (e.g., colab). This can also be used to keep your micromanaging manager happy but showing your status in teams (or similar s/w) as Active (green).",Automate periodic mouse movements using python,2022-04-22T07:00:16Z,2022,fourth_batch
fourth_batch_vid_0011,636000,Tips and tricks - 33: Learn about hyperparameters visually using the neural network playground Link to the playground: http://playground.tensorflow.org/,Learn about neural network hyperparameters visually,2022-04-30T07:00:14Z,2022,fourth_batch
fourth_batch_vid_0012,808000,Tips and tricks video # 34: 10 best image annotation tools for computer vision applications Free: 1. Make Sense: https://www.makesense.ai/ 2. VGG Image Annotator: https://www.robots.ox.ac.uk/~vgg/software/via/ 3. Computer Vision Annotator Tool (CVAT): https://github.com/openvinotoolkit/cvat 4. Labelme: http://labelme.csail.mit.edu/ 5. Dash Doodler: https://github.com/Doodleverse/dash_doodler 6. LabelImg: https://github.com/tzutalin/labelImg 7. Label Studio: https://labelstud.io/ Paid: 8. LabelBox: https://labelbox.com/ 9. Scale: https://scale.com/ 10. Superannotate: https://www.superannotate.com/,10 best annotation tools for computer vision​ applications,2022-05-07T07:00:05Z,2022,fourth_batch
fourth_batch_vid_0013,645000,Tips and Tricks 35 - Loading Kaggle data directly into Google Colab Code generated in the video can be downloaded from here: https://github.com/bnsreenu/python_for_microscopists/blob/master/Tips_tricks_35_loading_kaggle_data_to_colab.ipynb My GitHub repo link: https://github.com/bnsreenu/python_for_microscopists,Loading Kaggle data directly into Google Colab,2022-05-20T07:00:30Z,2022,fourth_batch
fourth_batch_vid_0014,1426000,"283 What is mask RCNN - CNN – Convolutional Neural Network​ R-CNN – Region-based Convolutional Neural Network​ Faster R-CNN – Faster Region-based Convolutional Neural Network​ Mask R-CNN – Mask (faster) Region-based Convolutional Neural Network​ Mask R-CNN is built using Faster R-CNN​ In addition to class label and bounding box, Mask R-CNN outputs an object mask. ​ Uses a trick called ROIAlign to locate relevant areas down to pixel level. ​",283 - What is Mask R-CNN?,2022-08-17T07:00:07Z,2022,fourth_batch
fourth_batch_vid_0015,1304000,Installing Mask RCNN for Windows on Python 3.7 and TensorFlow 2.2. Link to the original repo from matterport that works on TF1.x: https://github.com/matterport/Mask_RCNN Link to the repo that works on TF2.x : https://github.com/ahmedfgad/Mask-RCNN-TF2 requirements.txt from the file used in the video: numpy==1.20.3 scipy==1.4.1 Pillow==8.4.0 cython==0.29.24 matplotlib scikit-image==0.16.2 tensorflow==2.2.0 keras==2.3.1 opencv-python==4.5.4.60 h5py==2.10.0 imgaug==0.4.0 IPython[all],284 - Installing Mask RCNN and troubleshooting errors,2022-08-24T07:00:10Z,2022,fourth_batch
fourth_batch_vid_0016,1621000,"Code generated in the video can be downloaded from here: https://github.com/bnsreenu/python_for_microscopists This video helps you get started with your first Mask RCNN project that uses existing annotated data. Annotated data used in this video can be downloaded from: https://www.kaggle.com/datasets/mbkinaci/fruit-images-for-object-detection XML data in PascalVOC format XML annotation file for each image Please note that this video assumes you have installed Mask RCNN on your system. For installation instructions, please watch the previous video (Video numbered 284). coco weights can be downloaded from: https://github.com/matterport/Mask_RCNN/releases/download/v2.0/mask_rcnn_coco.h5",285 - Object detection using Mask RCNN (with XML annotated data),2022-08-31T07:00:05Z,2022,fourth_batch
