Approx Duration (ms),Video Description (Original),Video Title (Original),Video Publish Timestamp
281000,"If you are a student or researcher in any field, you'll eventually run into the need to learn to code. Programming will make you self sufficient, it will teach you how to think, it improves your collaborative skills and it can take your career to new heights. If you want to stay ahead of your peers and relevant in your field, overcome your fears and start coding!",01 - Why do you need to learn programming?,2019-05-05T22:09:40+00:00
394000,"What is programming?
A few programming terms.
What is an IDE?",02 - What is programming?,2019-05-05T22:23:57+00:00
579000,As a coder you need to understand the basics of command prompt. You need not be an expert but you should be able to change folders or run a python file from command line. This video provides a short explanation of command prompt.,03 - What is command prompt?,2019-05-06T23:02:25+00:00
644000,It is very important to understand what a digital image means before you can learn about processing these images. This video provides a short introduction to digital images. Spoiler alert - they are numpy arrays!,04 - What is a digital image?,2019-05-06T23:07:35+00:00
519000,If you are an absolute beginner programmer then you may need a bit of introduction to Python. The video also introduces a few Python terms like integrated development environment (IDE).,05 - What is Python?,2019-05-06T23:14:26+00:00
1145000,"This video provides an overview of various development environments (IDE) and explains Anaconda Spyder interface. It also introduces a few core Python operators. You will also learn about different data types; int, float and str.",06 - Python basics - IDE & operators,2019-05-06T23:28:29+00:00
1214000,"This is a continuation of previous video and introduces logical operators. You will also learn to code your first program using E = mC**2 and F = ma formule. In addition, you will learn how to take input via keyboard (provided by the user) which involves converting data type from string to an integer.",07 - Python basics - logical operators and basic math,2019-05-06T23:37:05+00:00
148000,This video warns you about potential round-off errors in Python.,08 - A warning about round off errors in Python,2019-05-06T23:37:41+00:00
716000,In this video you'll learn about using if and else statements in Python. These are very common statements in many languages.,09 - if else elif statements in Python,2019-05-07T00:01:55+00:00
1284000,"Images are nothing but a list of numbers. Therefore, it is important to understand various types of lists in Python. This video introduces lists, tuples, dictionaries, and numpy arrays.",10 - lists tuples and dictionaries,2019-05-07T00:24:18+00:00
2487000,"Images are multi-dimensional numpy arrays. This video introduces you to numpy arrays, including opening an image and looking at the array values associated with that image.",11 - numpy arrays,2019-05-07T02:00:45+00:00
1007000,Images are multidimensional lists or numpy arrays. This video summarizes information from the previous tutorials on lists and numpy arrays.,12 - Python Recap of lists and numpy arrays,2019-05-07T14:36:39+00:00
1365000,"Loops are used to perform useful tasks over and over until a condition is met. With loops you can repeat a set of statements even on each item in a list, tuple, dictionary or numpy array. This video provides an introduction to loops in Python including, for and while loops.",13 - for and while Loops in Python,2019-05-07T14:43:48+00:00
1298000,"A function in Python enables modularity and makes blocks of your code reusable. print() is a built in function that gets used quite often. As a coder, you can build your own functions in Python. This video introduces you to functions and explains its use with basic image processing examples.",14 - Python Functions,2019-05-07T16:06:54+00:00
1376000,"Functions allow us to modularize the code and make it reusable. But functions do not store any information, for example like variables do. This is solved by object oriented programming where it puts functions and variables together in a class. This video provides an introduction to classes in Python and uses cell positions and distance measurement as an example.",15 - Python Classes,2019-05-07T16:16:13+00:00
1111000,"Digital image processing in Python is mostly done via numpy array manipulation. This video provides a quick overview of digital images, their data types and numpy array manipulation to modify images.",16 - Understanding digital images for Python processing,2019-05-07T22:43:43+00:00
3298000,"There are many ways to reading images in Python. This video explains image reading using popular libraries in Python. It also explains a couple of ways to read non-standard images including Carl Zeiss' CZI and Bioformats' OME-TIFF images.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",17 - Reading images in Python,2019-05-08T20:20:32+00:00
1871000,"Pillow (PIL) is an image manipulation and processing library in Python. This video covers the basics of pillow library using a few examples for image resizing, cropping, and applying them to multiple images.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",18 - Image processing using pillow in Python,2019-05-09T18:17:13+00:00
1634000,"Scipy is a python library that is part of numpy stack. It contains modules for linear algebra, FFT, signal processing and image processing. Scipy is not specifically designed for image processing but it has a few useful tools. This video covers the basic image processing functionality of scipy library in Python.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",19 - image processing using scipy in Python,2019-05-09T23:16:23+00:00
2245000,"Scikit-image is a Python library dedicated towards image processing. This video explains a few useful functions from the scikit-image library including, resize, reshape, edge detectors and segmentation process for a microscopy based assay (wound healing or scratch assay).

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",20 - Introduction to image processing using scikit-image in Python,2019-05-13T23:51:16+00:00
1688000,"Scratch assay or Wound healing assay is one of the common assays in biology. It involves segmenting time series images for 'clean' vs cell-filled regions. This task can be very challenging as histogram segmentation does not yield desired results. This video tutorial explains the segmentation process using Entropy filter and Otsu thresholding in Python. It also explains the process of looping through images to analyze and plot the results.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",21 - Scratch assay analysis with just 5 lines code in Python,2019-05-15T01:40:42+00:00
1211000,"A compromise on signal to noise for speed often results in noisy microscope images. These images can be denoised to extract relevant information. There are many choices for denoising algorithms in Python but some are better than others. This video demonstrates a few denoising functions from Sciki-image and numpy libraries.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",22 - Denoising microscope images in Python,2019-05-16T21:18:51+00:00
1452000,"Microscope images are acquired to extract information about a sample. In order to properly quantify the information the images often need to be segmented for various features of interest. This tutorial explains the process of image segmentation in Python using histogram based thresholding. In other words, this video tutorial explains the process of defining grey level ranges for each feature of interest to perform segmentation. The tutorial also covers basic image processing operations in order to clean up the segmented regions.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",23 - Histogram based image segmentation in Python,2019-05-17T16:29:43+00:00
1618000,"Histogram based image segmentation is not possible in many cases. This tutorial explains the use of Random Walker segmentation in Python using a noisy backscattered electron (BSE) image collected from an alloy.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",24 - Random Walker segmentation in Python,2019-05-17T22:10:26+00:00
1210000,"openCV is a library of programming functions mainly aimed at computer vision but also very helpful for processing microscope images. This tutorial explains a few basic operations in openCV to read & resize images and to split & merge channels.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists","25 - Reading Images, Splitting Channels, Resizing using openCV in Python",2019-05-20T21:47:26+00:00
