Approx Duration (ms),Video Description (Original),Video Title (Original),Video Publish Timestamp
691000,"Discrete cosine transformation (DCT) is similar to discrete Fourier transform except DCT uses real cosine coefficients. Most of the information for DCT is contained in a handful of coefficients making it ideal for data compression, e.g. JPEG compression. DCT is a linear function with respect to spatial domain therefore, any image processing operation would yield similar results when performed in spatial or DCT domains.

This tutorial demonstrates image denoising by averaging images in real and DCT spaces, respectively.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",112 - Averaging image stack in real and DCT space for denoising,2020-03-30T07:00:11+00:00
1023000,"If the image histogram is confined only to a small region (low contrast images), histogram equalization can be used to stretch the histogram to include all ranges. But, this type of stretching may not result in ideal results and gives too bright and too dark regions in the image. This can be especially very bad for images with large intensity variations. 

Contrast limited adaptive histogram equalization (CLAHE)
Regular histogram equalization uses global contrast of the image. This results in too bright and too dark regions as the histogram stretches and is not confined to specific region.

Adaptive histogram equalization divides the image into small tiles and within 
each tile the histogram is equalized. Tile size is typically 8x8. If the image contains noise, it gets amplified during this process. Therefore, 
contrast limiting is applied to limit the contrast below a specific limit. Bilinear interpolation is performed between tile borders. 

This tutorial demonstrates the use of histogram equalization and CLAHE in Python to enhance low contrast images.

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",113 - Histogram equalization and CLAHE,2020-04-01T07:00:27+00:00
551000,"BRISQUE calculates the no-reference image quality score for an image using the Blind/Referenceless Image Spatial Quality Evaluator (BRISQUE). 

BRISQUE score is computed using a support vector regression (SVR) model trained on an image database with corresponding differential mean opinion score (DMOS) values. The database contains images with known distortion such as compression artifacts, blurring, and noise, and it contains pristine versions of the distorted images. The image to be scored must have at least one of the distortions for which the model was trained.

This tutorial explains the use of BRISQUE in Python. 

Mittal, A., A. K. Moorthy, and A. C. Bovik. ""No-Reference Image Quality Assessment in the Spatial Domain.
"" IEEE Transactions on Image Processing. Vol. 21, Number 12, December 2012, pp. 4695–4708.

https://live.ece.utexas.edu/publications/2012/TIP%20BRISQUE.pdf

To install imquality:
https://pypi.org/project/image-quality/

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",114 - Automatic image quality assessment using BRISQUE,2020-04-03T07:00:09+00:00
462000,"Otsu is a well known approach for image segmentation but it is limited to binary segmentation only. Most images contain information about multiple features requiring segmentation of multiple regions. Multi-Otsu calculates several thresholds based on the number supplied by the user. It is almost magical!

This tutorial explains the use of multi-otsu in Python followed by image segmentation. 

Liao, P-S., Chen, T-S. and Chung, P-C.,  “A fast algorithm for multilevel thresholding”, 
Journal of Information Science and Engineering 17 (5): 713-727, 2001

The code from this video is available at: https://github.com/bnsreenu/python_for_microscopists",115 - Auto segmentation using multi-otsu,2020-04-06T07:00:16+00:00
1282000,"Social distancing is a social responsibility that helps minimize the rapid spread of a disease during pandemics. This video explains the importance of social distancing and how it can reduce the load on the healthcare system in a given amount of time. A few lines of python code were also written as part of the video to explain the SEIR epidemiological model. 

I urge every citizen of the world to maintain social distancing for the next few weeks (or months) and help save valuable lives. 
(Video recorded and uploaded on: 19th May 2020)

Code available on Github: https://github.com/bnsreenu/python_for_microscopists

Please subscribe to my channel: https://www.youtube.com/channel/UC34rW-HtPJulxr5wp2Xa04w

References:
1. Christian Hubbs' blog: https://towardsdatascience.com/social-distancing-to-slow-the-coronavirus-768292f04296

2. Feasibility of controlling 2019-nCoV outbreaks by isolation of cases and contacts. Hellewell et al.

3. Epidemic analysis of COVID-19 in China by dynamical modeling. Peng et al.",Effect of Social Distancing on the spread of COVID-19 pandemic - A quick Python simulation,2020-03-20T00:54:20+00:00
1147000,"Data analysis is a key step that often follows image processing. This video provides a quick review of Pandas using an actively developing COVID-19 data set. In the video you'll learn about downloading the latest data from an online server, pre-process the data for plotting, and study the plots. 

This is part 1 of the 2 part videos. The second part covers more plotting using Seaborn. 

Code available at: https://github.com/bnsreenu/python_for_microscopists

References:
https://github.com/midas-network/COVID-19/tree/master/parameter_estimates/2019_novel_coronavirus",107 - Analysis of COVID-19 data using Python - Part 1,2020-03-23T07:00:01+00:00
1610000,"Data analysis is a key step that often follows image processing. This video provides a quick review of Pandas using an actively developing COVID-19 data set. In the video you'll learn about a few ways to plot the latest COVID-19 data downloaded from an online server.  

This is part 2 of the 2 part videos. 

Code available at: https://github.com/bnsreenu/python_for_microscopists

References:
https://github.com/midas-network/COVID-19/tree/master/parameter_estimates/2019_novel_coronavirus",108 - Analysis of COVID-19 data using Python - Part 2,2020-03-25T07:00:13+00:00
914000,"This video explains the process of fitting data to a curve (e.g. exponential) to model data and make predictions. Actively developing COVID-19 data set has been used for demonstration. 

Code available at: https://github.com/bnsreenu/python_for_microscopists

References:
https://github.com/midas-network/COVID-19/tree/master/parameter_estimates/2019_novel_coronavirus",109 - Predicting COVID-19 cases using Python,2020-03-26T05:00:01+00:00
1259000,"This video describes the process of reading an actively developing COVID-19 data set into Python and plotting the data many ways for easy analysis.  

Code available at: https://github.com/bnsreenu/python_for_microscopists

References:
Data set: https://github.com/CSSEGISandData/COVID-19/tree/master/csse_covid_19_data/csse_covid_19_time_series

Thanks to the blog article by Mr. Santiago.
https://blog.rmotr.com/learn-data-science-by-analyzing-covid-19-27a063d7f442",110 - Visualizing COVID-19 cases & death information using Python and plotly,2020-03-27T23:20:09+00:00
505000,"This video covers the topic of digging into the evolving COVID-19 data-set to find answers to questions like, what are the top 10 countries with highest cases and deaths. We will be using Python and plotly to visualize the results. 

Code available at: https://github.com/bnsreenu/python_for_microscopists

References:
Data set: https://github.com/CSSEGISandData/COVID-19/tree/master/csse_covid_19_data/csse_covid_19_time_series

Thanks to the blog article by Mr. Santiago.
https://blog.rmotr.com/learn-data-science-by-analyzing-covid-19-27a063d7f442",111 - What are the top 10 countries with highest COVID-19 cases and deaths?,2020-03-28T09:00:18+00:00
