Approx Duration (ms),Video Description (Original),Video Title (Original),Video Publish Timestamp
2271000,"Multiclass semantic segmentation using U-Net with VGG, ResNet, and Inception as backbones.

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists

The dataset used in this video can be downloaded from the link below. This dataset can be used to train and test machine learning algorithms designed for multiclass semantic segmentation. Please read the Readme document for more information. 

https://drive.google.com/file/d/1HWtBaSa-LTyAMgf2uaz1T9o1sTWDBajU/view?usp=sharing

Segmentation models library documentation: 
https://github.com/qubvel/segmentation_models

To annotate images and generate labels, you can use APEER (for free):
www.apeer.com","210 - Multiclass U-Net using VGG, ResNet, and Inception as backbones",2021-03-24T07:00:02+00:00
1915000,"Multiclass semantic segmentation using Linknet and how does it compare against unet

Original paper on Unet: (2015)
    https://arxiv.org/pdf/1505.04597.pdf
    
Original paper on Linknet: (2017)
    https://arxiv.org/pdf/1707.03718.pdf
    
Can learn a bit more about backbone comparison here....
https://iopscience.iop.org/article/10.1088/1742-6596/1544/1/012196/pdf

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists

The dataset used in this video can be downloaded from the link below. This dataset can be used to train and test machine learning algorithms designed for multiclass semantic segmentation. Please read the Readme document for more information. 
https://drive.google.com/file/d/1HWtBaSa-LTyAMgf2uaz1T9o1sTWDBajU/view?usp=sharing



To annotate images and generate labels, you can use APEER (for free):
www.apeer.com

Segmentation models library documentation: 
https://github.com/qubvel/segmentation_models",211 - U-Net vs LinkNet for multiclass semantic segmentation,2021-03-31T07:00:10+00:00
1332000,"Classification of mnist hand sign language alphabets into 25 classes
(Z is not included as it includes a wave motion, not captured using a single image)
Dataset: https://www.kaggle.com/datamunge/sign-language-mnist

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists

Dataset: https://www.kaggle.com/datamunge/sign-language-mnist",212 - Classification of mnist sign language alphabets using deep learning,2021-04-07T07:00:00+00:00
1531000,"Classification of mnist hand sign language alphabets into 25 classes.
An ensemble of network results may provide improved accuracy compared to any single network. This video goes through the code that explains the ensemble process of the network predictions. 

Dataset: https://www.kaggle.com/datamunge/sign-language-mnist

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists

Dataset: https://www.kaggle.com/datamunge/sign-language-mnist",213 - Ensemble of networks for improved accuracy in deep learning,2021-04-14T09:00:00+00:00
1773000,"Improving semantic segmentation (U-Net) performance via ensemble of multiple trained networks.
ResNet34 + Inception V3 + VGG16

If you get an error while loading Segmentation models library, please follow these steps to fix the issue: https://youtu.be/syJZxDtLujs

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists

The dataset used in this video can be downloaded from the link below. This dataset can be used to train and test machine learning algorithms designed for multiclass semantic segmentation. Please read the Readme document for more information. 
https://drive.google.com/file/d/1HWtBaSa-LTyAMgf2uaz1T9o1sTWDBajU/view?usp=sharing


To annotate images and generate labels, you can use APEER (for free):
www.apeer.com 

Segmentation models library documentation: 
https://github.com/qubvel/segmentation_models",214 - Improving semantic segmentation (U-Net) performance via ensemble of multiple trained networks,2021-04-21T07:00:04+00:00
1474000,"Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists

Dataset info: Electron microscopy (EM) dataset from
https://www.epfl.ch/labs/cvlab/data/data-em/

To annotate images and generate labels, you can use APEER (for free):
www.apeer.com",204 - U-Net for semantic segmentation of mitochondria,2021-02-25T08:00:08+00:00
1666000,"This video explains U-Net  segmentation of images followed by watershed
based separation of objects. Object properties will also be calculated.

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists

Dataset info: Electron microscopy (EM) dataset from
https://www.epfl.ch/labs/cvlab/data/data-em/

To annotate images and generate labels, you can use APEER (for free):
www.apeer.com",205 - U-Net plus watershed for instance segmentation,2021-03-02T08:00:09+00:00
3000000,"Can be applied to 3D volumes from FIB-SEM, CT, MRI, etc. (e.g., BRATS dataset). 

Code generated in the video can be downloaded from here: 
https://github.com/bnsreenu/python_for_microscopists

If you get an error while loading Segmentation models library, please follow these steps to fix the issue: https://youtu.be/syJZxDtLujs

The dataset used in this video can be downloaded from the link below. This dataset can be used to train and test machine learning algorithms designed for multiclass semantic segmentation. Please read the Readme document for more information. 
https://drive.google.com/file/d/1HWtBaSa-LTyAMgf2uaz1T9o1sTWDBajU/view?usp=sharing

To annotate images and generate labels, you can use APEER (for free):
www.apeer.com 

Segmentation models 3D library documentation: 
https://pypi.org/project/segmentation-models-3D/",215 - 3D U-Net for semantic segmentation,2021-04-28T07:00:03+00:00
86000,Just got bored of spending time at home so decided to get in the car and drive. I’m glad I found beautiful places that give some peace to mind!,Hidden gems around the Bay Area - Santa Cruz - Feb2021,2021-02-21T23:13:36+00:00
407000,"Link to sign up for Mito:
https://hubs.ly/H0H0Gsz0",Python Tips and Tricks - 1: Mito (trymito.io) for structured data,2021-02-22T20:04:04+00:00
